ISO,AT,AU,BR,CN,DE,DK,ES,ET,FI,FR,GB,GH,GR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LB,MA,MX,MY,NG,NO,PH,PL,PT,SE,TH,US,VN,ZA
GB,0.7080754565068,0.202391191842809,0.934564663223902,0.999990947929299,0.712450003106213,0.74413051510882,0.93673629658247,0.999336684216668,0.984613628655988,0.939726167257241,0,0.897269066389394,0.944746015544942,0.998263181818026,0.999811040200908,0.120392296225326,0.958956155610122,0.947113932675362,0.947382820517082,0.940471889837943,1,0.999804234574778,1,0.996239955675054,0.999413652841945,0.940769432467449,0.983223214501116,0.999896539223082,0.753836912786031,0.998838886515023,0.932378178313168,0.937352848713595,0.757783791776984,0.999996262881517,0.246329138538834,0.999998953854956,0.868122651973251
GH,0.944012052821007,0.904478293886858,0.988788161137842,1,0.944718688566954,0.950840215138964,0.989558899772753,1,0.997210351808766,0.989646740802023,0.897269066389394,0,0.989903158781617,0.999685328678859,1,0.894825588783151,0.993392607603109,0.992238032555338,0.991797646993891,0.989687432381437,1,0.945356483522682,1,0.999475197411666,0.999979500613777,0.990152680577166,0.998008882343887,0.94542249826726,0.952810359191493,0.999937901922075,0.989686135169368,0.989578520123124,0.953610393033377,1,0.90946658948989,1,0.914183650178992
GR,0.945418125584498,0.937199420517016,0.941080728989654,1,0.94290247533064,0.94538966669654,0.942236701784449,1,0.996373739325299,0.943050282464726,0.944746015544942,0.989903158781617,0,0.999284168976909,1,0.943673163756383,0.983964581370442,0.955134706843482,0.952961386457519,0.941335298178624,1,0.99992088182808,1,0.996944074421461,0.999875533703672,0.943727565774093,0.998492905446366,1,0.945852058792848,0.999634128300456,0.933095694960734,0.940867020378763,0.945855111048071,1,0.945532814222478,1,0.98666898052393
HU,0.99399199803331,0.99836056883601,0.998880894567891,1,0.99408377488009,0.998466451487829,0.998940748300304,1,0.292953097304828,0.998984730794283,0.998263181818026,0.999685328678859,0.999284168976909,0,1,0.998300283937029,0.992336284171824,0.996784301727906,0.997473409401449,0.998933102393853,1,0.999994134763797,1,0.99984440789785,0.999997838374816,0.998990726512251,0.999932773004094,1,0.994910526626732,0.999993451863991,0.998335039786857,0.998929892399412,0.978179320075469,1,0.998408516517607,1,0.999393590816617
ID,1,0.997923523905888,1,0.993361929460755,1,1,1,1,1,1,0.999811040200908,1,1,1,0,0.999796882782693,1,0.999994152114379,1,1,1,1,0.999973854814361,1,1,1,0.768123890905513,1,0.999415690101389,0.847243763111847,1,1,0.999986934955699,0.993012427686216,0.999148042913011,0.99803154391507,1
IE,0.70120822318541,0.183616284288945,0.938536809891005,1,0.706614310060873,0.738356220358992,0.940531230621311,1,0.984261559336956,0.943127224565857,0.120392296225326,0.894825588783151,0.943673163756383,0.998300283937029,0.999796882782693,0,0.958361842297881,0.957219072047812,0.95479183911882,0.943243262775571,1,0.999924679327398,1,0.997107493444067,0.999887015402818,0.944729701186421,0.983057005211933,1,0.748172351520209,0.998803407227672,0.926375147678763,0.941465522346735,0.752449658767329,0.999995982885721,0.229119801386345,0.999998875474724,0.865173571709579
IL,0.951654954624452,0.960913433662098,0.959246023128705,0.99998260091341,0.947861994685827,0.970030527546442,0.948391992694785,0.731060560608228,0.991542284619184,0.943115630178439,0.958956155610122,0.993392607603109,0.983964581370442,0.992336284171824,1,0.958361842297881,0,0.982642854225764,0.968959653598549,0.968026994074187,1,0.98167042662529,1,0.530623606972044,0.627234690016636,0.956239468868368,0.999077223610225,0.946528631887905,0.968029378594221,0.999724875762405,0.90239048936521,0.958928723049564,0.967020901722305,1,0.959380847545261,1,0.99021914502023
IN,0.957870348762241,0.950355919789486,0.95725860344359,0.99933834411849,0.956775766570992,0.954138208782876,0.958234578632492,1,0.995951246930822,0.959822686483333,0.947113932675362,0.992238032555338,0.955134706843482,0.996784301727906,0.999994152114379,0.957219072047812,0.982642854225764,0,0.685353952813755,0.957250137026553,1,0.999226659331434,0.999997425556867,0.980893635288596,0.999912510341201,0.959231315490497,0.985676434432004,1,0.955322333899254,0.999725065149708,0.957273177524795,0.957192757904958,0.953451259041126,0.999848366271609,0.956012393183731,0.997164749172488,0.984996712017743
IR,0.952463675269431,0.95045084290359,0.954833613380991,0.999104829020101,0.95154179548023,0.950727217181646,0.955644755931577,0.993212152592506,0.995856779867956,0.956085458269912,0.947382820517082,0.991797646993891,0.952961386457519,0.997473409401449,1,0.95479183911882,0.968959653598549,0.685353952813755,0,0.954824666610506,1,0.998982604363259,1,0.961807613111415,0.989003025496938,0.956918249873412,0.99542409789979,0.998645828619575,0.952382904189391,0.999719933823645,0.954849014342104,0.954764032008021,0.947316703350432,1,0.954153091976859,1,0.986608677012128
IT,0.940550902814641,0.932199485434957,0.610866063602003,1,0.934356920330654,0.944221572440521,0.616557080425427,1,0.99644733621686,0.62327817292845,0.940471889837943,0.989687432381437,0.941335298178624,0.998933102393853,1,0.943243262775571,0.968026994074187,0.957250137026553,0.954824666610506,0,1,0.999924734020814,1,0.996040282376498,0.999175632521171,0.622786321251689,0.998505886484792,1,0.943145348577766,0.997542501782115,0.944852950169213,0.606321432774347,0.941977841557354,1,0.895762151964782,1,0.986287371928301
